"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository","Tags"
"53.679.1758","False","False","354392","Drawings and Prints","Book","Muster-Buch über Bronce-Guss-Waaren","","","","","","","","","","","","","","","n.d.","1700","1950","","","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/354392","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"2001.727.170","False","False","354574","Drawings and Prints","Print","Windmill","","","","","","Artist","","Sears Gallagher","American, Boston, Massachusetts 1869–1955 Boston, Massachusetts","","Gallagher, Sears","American","1869      ","1955      ","ca. 1911–55","1911","1955","Etching with drypoint","image: 4 x 4 7/8 in. (10.1 x 12.4 cm)
sheet: 8 1/8 x 9 15/16 in. (20.6 x 25.2 cm)","Gift of Robert Westerlund and Louis J. Guerrera, 2001","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/354574","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"2001.727.200","False","False","354604","Drawings and Prints","Print","Julius","","","","","","Artist","","Sears Gallagher","American, Boston, Massachusetts 1869–1955 Boston, Massachusetts","","Gallagher, Sears","American","1869      ","1955      ","ca. 1911–55","1911","1955","Etching with drypoint","image: 5 7/8 x 4 1/4 in. (14.9 x 10.8 cm)
sheet: 7 13/16 x 6 5/16 in. (19.9 x 16.1 cm)","Gift of Robert Westerlund and Louis J. Guerrera, 2001","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/354604","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"2002.260","True","False","354644","Drawings and Prints","Drawing","Eastern Coast of Rügen Island with Shepherd","","","","","","Artist","","Caspar David Friedrich","German, Greifswald 1774–1840 Dresden","","Friedrich, Caspar David","German","1774      ","1840      ","ca. 1805–6","1800","1811","Sepia colored ink, sepia colored wash, white gouache and graphite on off-white wove paper","24 1/4 x 39 inches (61.6 x 99 cm)","Purchase, several members of The Chairman's Council Gifts and Fletcher Fund, and Promised Gift of Leon D. and Debra R. Black, 2002","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/354644","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Landscapes"
"52.519.139","False","False","354732","Drawings and Prints","Book ; Ornament and Architecture","A Treatise on the Construction of Staircases and Handrails...","","","","","","Publisher|Author","","J. Taylor|Peter Nicholson","London|British, Prestonkirk, East Lothian, Scotland 1765–1844 Carlisle, Cumbria","","Taylor, J.|Nicholson, Peter","British|British, Scottish","1700      |1765      ","1850      |1844      ","1820","1820","1820","Illustrations: etching and engraving","10 9/16 × 8 3/8 × 13/16 in. (26.9 × 21.2 × 2 cm)","Rogers Fund, 1952","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/354732","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"2002.234.1","False","False","354733","Drawings and Prints","Print","The Friend","","","","","","Artist","","Erich Heckel","German, Döbeln 1883–1970 Radolfzell","","Heckel, Erich","German","1883      ","1970      ","1954","1954","1954","Etching; second state","Sheet:  (15-13/16 x 11-7/16 inches) 40.2 x 29 cm
Plate:  (9-3/4 x 6-7/16 inches) 24.7 x 16.3 cm","Gift of Dietrich von Bothmer, 2002","","","","","","","","","","","","Prints","© 2019 Artists Rights Society (ARS), New York","http://www.metmuseum.org/art/collection/search/354733","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Men|Profiles"
"38.93.11","False","False","354790","Drawings and Prints","Book","Nott's Patent Stoves","","","","","","Author","","Mason & Co.","New York, NY","","Mason & Co.","American","1800      ","1900      ","19th century","1800","1900","","","Harris Brisbane Dick Fund, 1938","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/354790","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"52.519.140","False","False","354940","Drawings and Prints","Book ; Ornament and Architecture","Original Designs of Temples, And other ornamental Buildings for Parks and Gardens, In The Greek, Roman And Gothic Taste","","","","","","Engraver|Printer|Architect","Printed and sold by","Robert Pranker|Henry Webley|Thomas Collins Overton","British, active 1755–76|British, active London 1760s|active London, 18th century","","Pranker, Robert|Webley, Henry|Overton, Thomas Collins","British|British|British","1755      |1760      |1700      ","1776      |1770      |1800      ","1766","1766","1766","Illustrations: etching and engraving","11 1/8 × 7 11/16 × 11/16 in. (28.2 × 19.5 × 1.8 cm)","Rogers Fund, 1952","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/354940","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"52.519.17","False","False","355007","Drawings and Prints","Book ; Ornament and Architecture","The Carpenter's Pocket Directory; containing the Best Methods of Framing Timber Buildings..A New Edition","","","","","","Author|Printer|Publisher","","William Pain|William Stratford|J. Taylor","British, ca. 1730–ca. 1790|London|London","","Pain, William|Stratford, William|Taylor, J.","British|British|British","1730      |1750      |1700      ","1790      |1850      |1850      ","1803","1803","1803","Illustrations: etching and engraving","7 13/16 × 6 3/8 × 9/16 in. (19.8 × 16.2 × 1.5 cm)","Rogers Fund, 1952","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/355007","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"1986.1150.1","False","False","355192","Drawings and Prints","Book","The Story of the Bicycle","","","","","","Author","","Peerless Co.","Cleveland, Ohio","","Peerless Co.","American","1850      ","1950      ","1896","1896","1896","","","The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick, 1986","","","","","","","","","","","","Books|Ephemera","","http://www.metmuseum.org/art/collection/search/355192","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"60.714","False","False","355256","Drawings and Prints","Book","Les Contes de Perrault","","","","","","Author|Illustrator|Publisher","Written by|Published by","Charles Perrault|Gustave Doré|J. Hetzel et Compagnie","French, Paris 1628–1703 Paris|French, Strasbourg 1832–1883 Paris",", Paris","Perrault, Charles|Doré, Gustave|Hetzel, J. et Compagnie","French|French|French","1628      |1832      ","1703      |1883      ","1899","1899","1899","","Overall: 16 1/8 x 11 1/8 x 1 1/4 in. (41 x 28.2 x 3.2 cm)","Gift of Mrs. John Fiske, 1960","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355256","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"44.80","False","False","355302","Drawings and Prints","Book","Jewelry & Watches","","","","","","Author","","G. W. Pettibone & Co.","New York, NY","","Pettibone, G. W., & Co.","American","1800      ","1900      ","1881","1881","1881","","","Harris Brisbane Dick Fund, 1944","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355302","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"49.50.152","False","True","355332","Drawings and Prints","Drawing ; Ornament and architecture","Motif for an Iron Balcony","","","","","","Artist","","Anonymous, French, 19th century","","","Anonymous, French, 19th century","French","1800      ","1900      ","19th century","1800","1899","Pen and brown ink","sheet: 4 11/16 x 13 11/16 in. (11.9 x 34.8 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949","","","","","","","","","","","","Drawings|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/355332","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"41.100.57","False","False","355474","Drawings and Prints","Book ; Ornament and Architecture","Rural Architecture; or, Designs from the Simple Cottage to the Decorated Villa...","","","","","","Publisher|Designer","","I. & J. Taylor|John Plaw","London|British, London 1745–1820 Charlotte Town, PEI, Canada","","Taylor, I. & J.|Plaw, John","British|British","1750      |1745      ","1850      |1820      ","1796","1796","1796","Illustrations: etching and aquatint, printed in brown ink","12 × 8 3/4 × 13/16 in. (30.5 × 22.2 × 2 cm)","Bequest of W. Gedney Beatty, 1941","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/355474","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"61.519.1 (2)","False","False","355494","Drawings and Prints","Drawing","Design for a Plate Border with Floral Motif","","","","","","Artist","","Anonymous, French, 19th century","","","Anonymous, French, 19th century","French","1800      ","1900      ","19th century","1800","1899","Pen and black ink, brush and gray wash","Irregular sheet: 3 13/16 x 7 15/16 in. (9.7 x 20.1 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1961","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/355494","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"58.646.8","False","False","355512","Drawings and Prints","Book","Viola Tricolor in Picture and Rhyme","","","","","","Author|Publisher","","Graf Franz von Pocci|Stroefer and Kirchner","German, Munich 1807–1876 Munich|New York, NY","","Pocci, Franz von Graf|Stroefer and Kirchner","German|American","1807      |1800      ","1876      |1900      ","1876","1876","1876","Illustrations: chromolithography","14 3/16 x 10 13/16 in. (36 x 27.5 cm)","Gift of Mrs. H. J. Bernheim, 1958","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355512","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"37.36.2","False","True","355617","Drawings and Prints","Book","De Humana Physiognomonia. Libri III","","","","","","Author|Publisher","Written by|Published by","Giovanni Battista della Porta|Giuseppe Cacchi","Italian, 1538–1615",", Sorrento","della Porta, Giovanni Battista|Cacchi, Giuseppe","Italian|Italian","1538      |1500      ","1615      |1600      ","1586","1586","1586","Letterpress text with engraved illustrations","Overall: 13 x 9 1/4 x 1 1/16 in. (33 x 23.5 x 2.7 cm)
plate: 3 1/2 x 5 7/8 in. (8.9 x 14.9 cm)","Harris Brisbane Dick Fund, 1937","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355617","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Books|Men|Cats|Horses|Monkeys"
"11.66.3","False","True","355625","Drawings and Prints","Drawing","Lady Seated at a Table (recto); Dancing Figures (verso)","","","","","","Artist","","George Romney","British, Beckside, Lancashire 1734–1802 Kendal, Cumbria","","Romney, George","British","1734      ","1802      ","1775 or later","1776","1803","Recto: pen and brown ink, brush and brown wash; verso: black chalk, pen and brown ink","Sheet: 10 1/8 x 11 1/8 in. (25.7 x 28.3 cm)","Rogers Fund, 1911","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/355625","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Women|Dancing|Writing"
"49.3.21-16","False","False","355738","Drawings and Prints","Book","Proces Fualdès","","","","","","Publisher","Published by","E. Martinet","",", Paris","Martinet, E.","French","","","after May 4, 1818","1818","1818","","","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355738","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"68.528.3","False","False","355750","Drawings and Prints","Book","Les Plaisirs et Les Jours","","","","","","Author|Author|Author|Illustrator|Publisher","Written by|Preface by|Four Selections for piano by|Published by","Marcel Proust|Anatole France|Raynaldo Hahn|Madeleine-Jeanne Lemaire|Calmann Lévy","French, 1871–1922|French, Paris 1884–1924 Saint-Cyr-sur-Loire|French, 1845–1928|French, 1819–1891",", Paris","Proust, Marcel|France, Anatole|Hahn, Raynaldo|Lemaire, Madeleine-Jeanne|Lévy, Calmann","French|French|French|French","1871      |1884      |1845      |1819      ","1922      |1924      |1928      |1891      ","1896","1896","1896","","","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1968","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355750","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"37.88","False","False","355769","Drawings and Prints","Book ; Ornament and architecture","The True Principles of Pointed or Christian Architecture; An Apology for the Revival of Christian Architecture in England","","","","","","Publisher|Author","","John Weale|Augustus Welby Northmore Pugin","London|British, London 1812–1852 Ramsgate","","Weale, John|Pugin, Augustus Welby Northmore","British|British","1800      |1812      ","1900      |1852      ","1843","1843","1843","Illustrations: etching, some printed in color, with addtions in pen and ink, and graphite","10 1/2 × 9 1/16 × 3 1/8 in. (26.7 × 23 × 8 cm)","Harris Brisbane Dick Fund, 1937","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/355769","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"24.90.1907","False","False","355895","Drawings and Prints","Book","Life of George Washington","","","","","","Author|Publisher|Sitter|Engraver","Frontispiece:","David Ramsay|Hopkins & Seymour|George Washington|William Satchwell Leney","American, 1749–1815|New York, NY|American, 1732–1799|American (born England), London 1769–1831 Longue Pointe, near Montreal","","Ramsay, David|Hopkins & Seymour|Washington, George|Leney, William Satchwell","American|American|American|American, born England","1749      |1750      |1732      |1769      ","1815      |1850      |1799      |1831      ","1807","1807","1807","Illustrations: engraving","9 5/8 x 5 5/16 in. (24.5 x 13.5 cm)","Bequest of Charles Allen Munn, 1924","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355895","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"25.30.66","False","False","355940","Drawings and Prints","Book","La rapresentatione di Judith hebrea","","","","","","","","","","","","","","","January 1554","1554","1554","","","Harris Brisbane Dick Fund, 1925","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355940","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"25.30.145","False","False","355949","Drawings and Prints","Book","Rapresentatione della Purificatione di nostra Donna...","","","","","","","","","","","","","","","1559","1559","1559","","","Harris Brisbane Dick Fund, 1925","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/355949","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"1996.396.3","False","False","355952","Drawings and Prints","Print","Une Visite au Salon, from Tout ce qu'on voudra, published in Le Charivari, March 28, 1847","","","","","Tout ce qu'on voudra","Artist|Printer|Publisher","","Honoré Daumier|Aubert et Cie|Aubert et Cie","French, Marseilles 1808–1879 Valmondois","","Daumier, Honoré|Aubert et Cie|Aubert et Cie","French|French|French","1808      |1829      |1829      ","1879      |1929      |1929      ","March 28, 1847","1847","1847","Lithograph; second state of two (Delteil)","Mount: 15 3/16 in. × 12 3/8 in. (38.6 × 31.5 cm)
Sheet: 14 in. × 9 11/16 in. (35.6 × 24.6 cm)","Gift of Alan S. Schonfeld, 1996","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/355952","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"47.118.2","False","False","356049","Drawings and Prints","Book","Relacion De Las Exequias que a la Magestad Del Rey Cat. D. Fernando VI...En La Real Yglesia De Santiago de Los Espanoles de Rome","","","","","","Publisher|Artist|Engraver|Artist","Published by|After|Engraved by","Los Hermanos Joachim|Giovanni Paolo Panini|Carlos Baroni|Giuseppe Vasi","Italian, Piacenza 1691–1765 Rome|Italian, active 18th century|Italian, 1710–1782",", Rome","Los Hermanos Joachim|Panini, Giovanni Paolo|Baroni, Carlos|Vasi, Giuseppe","Italian|Italian|Italian|Italian","1691      |1700      |1710      ","1765      |1800      |1782      ","1760","1760","1760","Engraving","Overall: 15 3/8 x 10 7/16 x 1 9/16 in. (39 x 26.5 x 4 cm)","Harris Brisbane Dick Fund, 1947","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356049","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"52.519.92","False","False","356161","Drawings and Prints","Book ; ornament and architecture","A New Collection of Chimney Pieces, Ornamented in the Style of The Etruscan, Greek and Roman Architecture Containing Thirty Six Designs...","","","","","","Author","Written and published by","George Richardson","British, ca. 1736–1813","","Richardson, George [and Son]","British","1736      ","1813      ","1781","1781","1781","Illustrations: etching, engraving, aquatint","19 1/8 x 12 13/16 x 1 1/16 in. (48.5 x 32.5 x 2.7 cm)","Rogers Fund, 1952","","London","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/356161","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"59.508.98(1)","False","True","356336","Drawings and Prints","Drawing","Antique-Style Ornamental Frieze Design: Grotteschi with Figures, Cornucopiae, and Shields.","","","","","","Artist","","Anonymous, Italian, 16th century","Italian, active Central Italy, ca. 1550–1580","","Anonymous, Italian, 16th century","Italian","1550      ","1600      ","early 16th century","1500","1550","Pen and brown ink, over traces of leadpoint (?), on buff laid paper","13 1/2 x 6 1/4 in. (34.3 x 15.8 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/356336","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Men|Profiles|Leaves"
"1972.638.11","False","True","356573","Drawings and Prints","Book","A Memorial of the Marriage of H.R.H. Albert Edward Prince of Wales and H.R.H. Alexandra, Princess of Denmark","","","","","","Author|Artist|Publisher","","Sir William Howard Russell|Robert Charles Dudley|Day & Son, Ltd.","Irish, Tallaght, Dublin 1820–1907 London|British, 1826–1909|London","","Russell, William Howard Sir|Dudley, Robert Charles|Day & Son, Ltd.","Irish|British|British","1820      |1826      |1800      ","1907      |1909      |1899      ","1863","1863","1863","Illustrations: lithography, wood engraving, hand coloring","16 9/16 x 12 1/16 x 1 3/8 in. (42 x 30.7 x 3.5 cm)","Rogers Fund, transferred from the Library","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356573","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"59.605.1","False","False","356585","Drawings and Prints","Book","Sacre de S.M. Charles X dans la métropole de Reims, de 29 mai 1825","","","","","","Designer|Publisher","Designed by|Published by","Salneuve|Godefroy Engelmann","French, active 19th century|German (born France), Mulhouse 1788–1839 Mulhouse",", Paris","Salneuve|Engelmann, Godefroy","French|German","0019      |1788      ","0019      |1839      ","1825","1825","1825","Lithography","Overall: 24 13/16 x 18 3/8 x 3/8 in. (63 x 46.6 x 1 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356585","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"44.38.1","False","False","356653","Drawings and Prints","Book","Nuova Raccolta di Scene Teatrali","","","","","","Designer","Designed by","Alessandro Sanquirico","Italian, 1777–1849","","Sanquirico, Alessandro","Italian","1777      ","1849      ","ca. 1797–1849","1792","1854","","","Harris Brisbane Dick Fund, 1944","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356653","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"31.87.36","False","True","356740","Drawings and Prints","Print","The Cyder Feast","","","","","","Artist","","Edward Calvert","British, Appledore, Devon 1799–1833 Hackney (London)","","Calvert, Edward","British","1799      ","1833      ","1828","1828","1828","Wood engraving on India paper, laid down; third state of three","Image: 2 15/16 in. × 5 in. (7.5 × 12.7 cm)
Sheet: 3 1/2 × 5 1/2 in. (8.9 × 13.9 cm)","Harris Brisbane Dick Fund, 1931","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/356740","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Apples|Men|Women|Dancing|Trees"
"63.592.21","False","False","356764","Drawings and Prints","Book","Porte Dorique","","","","","","Artist","","François de Cuvilliés the Younger","German, 1731–1777","","Cuvilliés François de, the Younger","German","1731      ","1777      ","1770","1770","1770","Engraving","Overall: 18 5/16 x 14 9/16 x 1 3/16 in. (46.5 x 37 x 3 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356764","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"69.604.12","False","False","356799","Drawings and Prints","Book","Poëzy. Tweede druk merkelyk vermeerdert.","","","","","","Publisher|Artist|Author|Publisher|Artist","","Wilhelmus van Kessel|Jan van Vianen|Lukas Schermer|Johannes Ratelband|Jan Goeree","Dutch, 1660–1726|Dutch, Middelburg 1670–1731 Amsterdam",", Haarlem|, Amsterdam","Kessel, Wilhelmus van|Vianen, Jan van|Schermer, Lukas|Ratelband, Johannes|Goeree, Jan","Dutch|Dutch|Dutch|Dutch","1660      |1670      ","1726      |1731      ","1725","1725","1725","Etchings","8 1/8 × 5 1/4 × 1 15/16 in. (20.6 × 13.4 × 4.9 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1969","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/356799","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"60.706.16","False","False","357023","Drawings and Prints","Book","Gold, Silver & Tinsel Trimmings, Theatrical Goods, Flags & Banners","","","","","","Author","","Shannon, Miller & Crane","American, New York","","Shannon, Miller & Crane","American","","","ca. 1880","1875","1885","Illustrations: wood engraving or photo engraving","9 1/16 x 5 3/4 in. (23 x 14.6 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/357023","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"63.712.19","False","True","357038","Drawings and Prints","Drawing","Rider and Horse in Battle Scene","","","","","","Artist","","Anonymous, French, 18th century","","","Anonymous, French, 18th century","French","1700      ","1800      ","18th century","1700","1799","Pen and black ink, brush and black wash on blue paper","sheet: 5 1/2 x 9 11/16 in. (13.9 x 24.6 cm)","Gift of Regina Slatkin, 1963","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/357038","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Battles|Men|Horse Riding|Horses"
"35.45.14","False","True","357265","Drawings and Prints","Book ; Ornament and architecture","Designs of Furniture","","","","","","Author","","William Smee & Son","London","","Smee, William & Son","British","1800      ","1900      ","19th century","1800","1899","Illustrations: engraving, etching","12 5/8 x 9 13/16 x 1 5/8 in. (32 x 25 x 4.2 cm)","Harris Brisbane Dick Fund, 1935","","","","","","","","","","","","Books|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/357265","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Chairs"
"1991.1002.23","False","False","357706","Drawings and Prints","Drawing","Fabric Design, leaf and dot motif","","","","","","Artist","","Stuart Davis","American, Philadelphia, Pennsylvania 1892–1964 New York","","Davis, Stuart","American","1892      ","1964      ","ca. 1934","1929","1939","Blue and red gouache over graphite","sheet: 9 15/16 x 15 in. (25.2 x 38.1 cm)","Gift of Mrs. Stuart Davis, 1981","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/357706","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"63.667.2","False","False","357793","Drawings and Prints","Book","Architectonisk album","","","","","","Designer|Publisher","Designed by|Published by","Chr. M. Tegner|Tegner's Lith. Inst.","",", Copenhagen","Tegner, Chr. M.|Tegner's Lith. Inst.","Danish|Danish","","","1853–54","1853","1854","Lithographs","16 1/2 x 13 1/4 in. (41.9 x 33.7 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/357793","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"27.9.1","False","False","357928","Drawings and Prints","Book","The Seasons","","","","","","Author|Publisher|Illustrator","","James Thomson|James Wallis|Thomas Bewick","British, Ednam, Scotland 1700–1748 Richmond-upon-Thames|London|British, Eltringham, Northumberland 1753–1828 Gateshead","","Thomson, James|Wallis, James|Bewick, Thomas","British, Scottish|British|British","1700      |1800      |1753      ","1748      |1850      |1828      ","1805","1805","1805","Illustrations: wood engraving","8 7/16 x 5 5/16 in. (21.5 x 13.5 cm)","Harris Brisbane Dick Fund, 1927","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/357928","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"49.69.9","False","False","357952","Drawings and Prints","Book","1er Livre de Sujets...pour servir aux Bijoutiers, Orfevre, et Tabletiers","","","","","","Artist|Publisher","Published by","Pierre Tibesar|Jean de Beauvais","French, active 1780s","","Tibesar, Pierre|Beauvais, Jean de","French|French","1780      ","1780      ","1780–90","1780","1790","Etching","Overall: 14 11/16 x 10 3/4 x 5/16 in. (37.3 x 27.3 x 0.8 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949","","Paris","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/357952","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"53.668.238","False","True","357965","Drawings and Prints","Drawing","Design for a Stage Set at the Opéra, Paris","","","","","","Artist","","Eugène Cicéri","French, Paris 1813–1890 Fontainebleau","","Cicéri, Eugène","French","1813      ","1890      ","1830–90","1830","1890","Graphite","Irregular sheet: 9 1/16 x 6 1/2 in. (23 x 16.5 cm)","Gift of Mrs. Henry T. Curtis, 1953","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/357965","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Buildings|Stairs|Documents"
"24.90.1818","False","False","358123","Drawings and Prints","Book","The Traveller's Directory or, Pocket Companion Shewing the Course of the Main Road from Philadelphia to New York and from Philadelphia to Washington.","","","","","","Publisher","","Carey & Hart Company","Philadelphia, Pennsylvania","","Carey & Hart Company","American","1800      ","1900      ","1804","1804","1804","Illustrations: engraving","8 11/16 x 5 1/2 x 5/8 in. (22 x 14 x 1.6 cm)","Bequest of Charles Allen Munn, 1924","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/358123","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"53.682","False","True","358129","Drawings and Prints","Book","De humani corporis fabrica (Of the Structure of the Human Body)","","","","","","Artist|Publisher|Author","","John of Calcar (John Stephen Calcar)|Johann Oporinus|Andreas Vesalius","Netherlandish, Calcar, Cleves 1499–1546/50 Naples (active Italy)|1536–1567|Flemish, Brussels 1514–1564 Zakynthos, Greece","","Calcar, Jan Stephen|Oporinus, Johann|Vesalius, Andreas","Netherlandish|Swiss|Flemish","1499      |1536      |1514      ","1550      |1567      |1564      ","1555","1555","1555","Woodcut","Overall: 15 9/16 x 10 1/2 x 3 1/4 in. (39.5 x 26.7 x 8.3 cm)
page: 15 1/4 x 10 1/4 in. (38.7 x 26 cm)","Gift of Dr. Alfred E. Cohn, in honor of William M. Ivins Jr., 1953","","Basel","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/358129","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Books|Skeletons"
